,locations,text
14,bos MA,"RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
15,"Lahore, Pakistan","RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
16,Jamaica,Check out the Earthquake &amp; Tsunami Awareness Press Conference right now live on the ODPEM Instagram.… https://t.co/aAcKF2vlb1
17,"Arizona, USA",The latest website address: https://t.co/OU1iAziRth! https://t.co/YjOs99y2lA Thanks to @CarynLeslie1 @MemSlimHouse… https://t.co/QOsyJDnEHF
18,United States of America,"https://t.co/wzBM2ConjR #TSUNAMI 40 miles SW of Barter I., Alaska 
     Category: InformationBulletin Issue Time:… https://t.co/ns8dUVAtsk"
19,some where in U.S.A.,"RT @GingerNunya: The single BEST article re  opioid FACTS &amp; the truth of Andrew Kolodny
RT and spread the light of truth in the tsunami of…"
20,"Chicago, IL","RT @Lynne_Jean: Read my own experience of surviving a deadly #cyclone #hurricane #tsunami #althea
https://t.co/F7HDTBdG1d
On Amazon or DM f…"
21,"Lahore, Pakistan","RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
22,Paris / Bretagne,RT @AJIIndonesia: @CFImedias and @AJIIndonesia distributed work equipment to support journalists who were victims of Palu and Donggala eart…
23,Pakistan,"RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
24,"Boston, MA","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
25,Covfefe Square,"RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
26,"Boston, MA","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
27,"Northampton, MA","""Sticky, deadly tsunami"""
28,"Santa Fe, NM, USA","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
29,"Asheville, NC","This week in #history: Boston suffers a molasses tsunami, President Dwight D. Eisenhower bids the nation farewell,… https://t.co/dKQN2eajKK"
30,"Helsinki, Finland",The tsunami of financial regulation over the past decades has swept aside much of the sense of personal accountabil… https://t.co/adazUZBUmU
31,united states,"RT @Schuldensuehner: Markets face a tsunami of US debt: US bond issuance rising from $1trn in 2017 to $1.5trn in 2018, $2trn in 2019, and $…"
32,"Oslo, Norway","RT @henriksvensen: My coverage of the 22 December #Krakatau eruption and tsunami, in today's @Morgenbladet (in Norwegian, paywall). I have…"
33,🇩🇰,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
34,"Troy, Michigan",You don’t have to navigate the tsunami of automotive video content. Our list of the top 9 video #podcasts &amp;… https://t.co/t0age8twT1
35,"Lahore, Pakistan","RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
36,"Reston,VA",The ruthless tsunami has snatched away their homes and loved ones. The people of Java and Sumatra need our immediat… https://t.co/7p0EZCh4ky
37,#NEW YORK CITY#,It is time to start our campaign. Welcome to 2020 Democratic Tsunami coming at ya. Americans have had enough. I act… https://t.co/vNnaGXd4Dt
38,ATX,"RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
39,"Islamabad, Pakistan","RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
40,Yorkshire,"RT @JayMitchinson: This doesn’t surprise me. I know just how brilliant Greg is. Worth pointing out, though, that journalism like this and j…"
41,New York City,"RT @Schuldensuehner: Markets face a tsunami of US debt: US bond issuance rising from $1trn in 2017 to $1.5trn in 2018, $2trn in 2019, and $…"
42,United States,RT @tictoc: Welcome back to the ocean: Rescue workers return turtles to the sea after being stranded inland by a tsunami in Indonesia https…
43,"Carabobo, Venezuela","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
44,Renaissance. ,"RT @got_monberry: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue:…"
45,United States,RT @aigkenham: So evolutionary scientists are happy to propose a global catastrophe on earth--as long as it's not one that's recorded in th…
46,"Las Vegas, NV","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
47,"New York, NY","Another sad #coral photo, this one from Papua New Guinea. Can bleached coral stories have a happy ending? Coral do… https://t.co/wX1G8KWUCx"
48,"Boston, MA","Mostly I'm just pleased the academic interviewed didn't say, ""It was a perfect storm of events."""
49,"Pennsylvania, USA",RT @aigkenham: So evolutionary scientists are happy to propose a global catastrophe on earth--as long as it's not one that's recorded in th…
50,Israel,"RT @mishtal: London 2018. I watch the whole argument. Jews were blamed for all the wars of the Middle East, including the Sunni/Shi'ite vio…"
51,The World,"RT @GingerNunya: The single BEST article re  opioid FACTS &amp; the truth of Andrew Kolodny
RT and spread the light of truth in the tsunami of…"
52,"New York, USA & Kharkiv, Ukraine","#Blockchain: Reawakening the Dream Of A #Decentralised World Wide Web ?
The technology can provoke a profound tsuna… https://t.co/3oD9ErmLRz"
53,Worldwide,"RT @mishtal: London 2018. I watch the whole argument. Jews were blamed for all the wars of the Middle East, including the Sunni/Shi'ite vio…"
54,"London, UK","My Book, Planet Ponzi, Explained How Too Much Debt, Credit, and Leverage Caused The #GreatRecession.  Central Banke… https://t.co/gualmh7dwB"
55,University College London,Emeritus Professor Bill McGuire (@ES_UCL) explains Alaska’s susceptibility to tsunamis is due to the magnitude of e… https://t.co/5JNrFQT47r
56,"Ottawa, Ontario","RT @worldrenew_amt: Pray for the people of Banten and Lampung provinces in the wake of the December 22nd tsunami that has injured 14,000 pe…"
57,Jamaica,"""Business Continuity planning is not done after an earthquake but well in advance..."" - Mr. Thompson, ODPEM at the… https://t.co/3FMw9E5W6i"
58,"take risks, be bold","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
59,"Austintown, Ohio",RT @EarthUncutTV: Digging through some “before” photos of island of Rakata near Anak #Krakatau shot in August 2018 and comparing to now. Th…
60,🇵🇭•🇨🇦,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
61,Minnesota,"RT @BB_Writes: :
How many unspoken words
have you stashed
inside your ribcage?
Each subject, a matchstick
Each verb, a wave...

Can you ima…"
62,United States,@AroundT64063873 @branddnewell Is this real? Looks like a tsunami - where are those crowds positioned?
63,portugal,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
64,Liverpool,Asteroid That Wiped Out Dinosaurs Caused Mile-High Tsunami - RealClearLife https://t.co/Wb0tufBRU3
65,México,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
66,Verse#2,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
67,Jamaica,"There are numerous effects that earthquake has on health - Mrs. Nicole Dawson, @themohgovjm at the Earthquake &amp; Tsu… https://t.co/4eWFyVODn9"
68,Cambodia,"RT @archivekoeun: english pronunciation class:

tsunami - the t is silent

honest - the h is silent

island - the s is silent

queue - the…"
69,jajool.com/eric,"The only thing that will work is a Blue Wave Tsunami

https://t.co/zHfbACnZ90

UNITE"
70,Tunisia,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
71,mutlifandom household ,"RT @got_monberry: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue:…"
72,"Greensboro, NC","This nigga said...
They’ll wet ya whole block up, like the tsunami. Try me and mami’ll be right in the lobby. And t… https://t.co/UcDsc9ILdS"
73,"Paris, France","[#4MAsia] 

After the tsunami damage in Indonesia, @CFImedias provided material support to the media through its pa… https://t.co/nKXeCauITC"
74,"Greenville, SC, USA","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
75,Gujrat,"tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is silent."
76,Global,[Tsunami] | Tsunami Information | 2019-01-14 14:23:17: Tsunami Information issued on 14/01/2019 at 14:23:17 onto th… https://t.co/S2U7LFiW0K
77,"Kerala, India","RT @DiyaMenon6: #WeDemandJenShad cos we wanted #AdiYa to have a proper Suhaag raat and create a Tsunami on IndianTelevision
@mnysha have a…"
78,"Valdosta, GA",RT @tictoc: Welcome back to the ocean: Rescue workers return turtles to the sea after being stranded inland by a tsunami in Indonesia https…
79,go away,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
80,"Surakarta, Jawa Tengah",RT @JakartaCasual: Indonesia's fiercest rivalry returns on Sunday.  Persita will meet Persikota in a fund raising game for victims of the r…
81,"नई दिल्ली, भारत",RT @ggiittiikkaa: Vivek Oberoi has donated flats to 25 CRPF martyrs; rehabilitated 3000 tsunami-hit families; gifted apartments to acid att…
82,University of Hull,RT @EarthUncutTV: Digging through some “before” photos of island of Rakata near Anak #Krakatau shot in August 2018 and comparing to now. Th…
83,Pakistan,"RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
84,"Lahore, Pakistan","RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
85,'Murica,"RT @AyannaPressley: ""I see right through you &amp; so do the American people. This wall has nothing to do with border security, it is another T…"
86,Hostel aka hell,"RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
87,"Boulder, CO","RT @Schuldensuehner: Markets face a tsunami of US debt: US bond issuance rising from $1trn in 2017 to $1.5trn in 2018, $2trn in 2019, and $…"
88,+63,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
89,"Philadelphia, PA","RT @AyannaPressley: ""I see right through you &amp; so do the American people. This wall has nothing to do with border security, it is another T…"
90,Graveyard ,"RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
91,"Pittsburgh, PA","@realDonaldTrump This puerile name-calling is unworthy of a president. 
OTOH-Since you are an illegitimate “preside… https://t.co/HTEq0WrdH9"
92,India,"RT @lmaohae: english pronunciation class:

• tsunami: the t is silent
• honest: the h is silent
• island: the s is silent
• queue: ueue is…"
93,Jakarta Capital Region,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
94,BSCS,"RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
95,"Yorkshire, England","RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
96,Spokane Washington ,"RT @AyannaPressley: ""I see right through you &amp; so do the American people. This wall has nothing to do with border security, it is another T…"
97,#TheResistance #Forever ,"@Kokomothegreat It’s a feeling we all share when we are bombarded daily with the #TyrantTrump tsunami of lies, misi… https://t.co/PS9ccS5pzr"
98,"California, USA",The Winds Blowing My Mustache Side To Side !! Tsunami Warning Off the Cost Of Santa Barbara Shit Looks Scarier Live https://t.co/d856j9JVgU
99,"london, england","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
100,Milky Way,on my johnny tsunami shit
101,Planet Earth,"RT @gilmour_wendy: Saw first hand the ""billion tree tsunami"" today: reforestation is key in addressing climate change.  These saplings were…"
102,Karachi,"RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
103,"Hancock, MI, USA","Jan 12 @planetlabs image of #Krakatau shows #tsunami-scoured outer islands (Sertung, Panjang &amp; Rakata). Orange prec… https://t.co/PZ397Z43UU"
104,RT'S DON'T Always= ENDORSEMENT,"RT @Lynne_Jean: Read my own experience of surviving a deadly #cyclone #hurricane #tsunami #althea
https://t.co/F7HDTBdG1d
On Amazon or DM f…"
105,"California, USA","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
106,"Cape Town, South Africa","Fuck a 10 year challenge, here's a rare pic of me in 1982 a year before i was born, #1980s #1980svs2018 #2019goals… https://t.co/wnvktqpl5D"
107,"London, United Kingdom","RT @simoncarn: Jan 12 @planetlabs image of #Krakatau shows #tsunami-scoured outer islands (Sertung, Panjang &amp; Rakata). Orange precipitate S…"
108,"Montreal, Canada","RT @gilmour_wendy: Saw first hand the ""billion tree tsunami"" today: reforestation is key in addressing climate change.  These saplings were…"
109,Karnataka,"RT @DiyaMenon6: #WeDemandJenShad cos we wanted #AdiYa to have a proper Suhaag raat and create a Tsunami on IndianTelevision
@mnysha have a…"
110,Hyderabad - Pakistan,"RT @gilmour_wendy: Saw first hand the ""billion tree tsunami"" today: reforestation is key in addressing climate change.  These saplings were…"
111,Paris of the East: Lahore,"RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
112,San Francisco,RT @sexandstartups: “We think there is going to be a tsunami of entrepreneurs who have experienced the one-size-fits-all venture model and…
113,"Karachi, Pakistan","RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
114,"Brighton & Hove, UK","RT @simoncarn: Jan 12 @planetlabs image of #Krakatau shows #tsunami-scoured outer islands (Sertung, Panjang &amp; Rakata). Orange precipitate S…"
115,Irlandia,"RT @JulianRoepcke: Russian newspaper (which's e-i-c advices Vladimir Putin) calls for Russia to send a ""Poseidon"" underwater drone &amp; detona…"
116,"London, England","RT @TSA_Projects: Mobile medical services are still provided to communities affected by the recent earthquake, tsunami, liquefaction and di…"
117,"lahore, pakistan","tsunami :  T is silent

honest :  H is silent

island :  S is silent

queue :  ueue is silent

pewdiepie asking for… https://t.co/v3STXOmbwo"
118,France,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
119,DM 🚫,"RT @stfumahad: tsunami :  T is silent

honest :  H is silent

island :  S is silent

queue :  ueue is silent

pewdiepie asking for help, ma…"
120,JYP Nation,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
121,Jamaica,Sections 48 &amp; 68 of the #BuildingAct empowers the local authority...- Minister McKenzie at the Earthquake &amp; Tsunami… https://t.co/5iYiZ0TBug
122,"Manhattan, NY","RT @Schuldensuehner: Gundlach is worried that if growth slows &amp; stocks slump, Treasury yields may actually rise given tsunami of debt marke…"
123,A trump recession right around the corner,RT @MrJohnJohn: @carreramae @milesjreed @pannlewis44 @Ireland0828 @DebdLun @LCNM99 Based on what we have seen and heard so far it will look…
124,Earth,"RT @arellano_aj11: Big faxxx, no printer🤫 https://t.co/W7hrIqunOz"
125,Babylon Beach,@MayorOfLA . . . in the meantime can you re-open the Venice Blvd pinch point @ladottransit created? That is a tsuna… https://t.co/ScutB6SrmQ
126,"Florida, USA",RT @mvpmal: I would dive head first into a tsunami to suck on your titties for 1 minute https://t.co/LzbEGycUyl
127,India,"RT @Schuldensuehner: Gundlach is worried that if growth slows &amp; stocks slump, Treasury yields may actually rise given tsunami of debt marke…"
128,Israel,"Malaysia is vulnerable to natural hazards including floods, forest fires, tsunami, cyclonic storms, landslides, epi… https://t.co/B1E97PuxKk"
129,"Lahore, Pakistan","RT @stfumahad: tsunami :  T is silent

honest :  H is silent

island :  S is silent

queue :  ueue is silent

pewdiepie asking for help, ma…"
130,"Lahore, Pakistan","RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
131,"Indianapolis, IN",BREAKING NEWS: The Weather Channel is reporting that there are PINK clouds forming in or around the Chicago area. T… https://t.co/rrIdkU27lT
132,"Bedford, NY","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
133,"Dayton, TX","RT @Schuldensuehner: Gundlach is worried that if growth slows &amp; stocks slump, Treasury yields may actually rise given tsunami of debt marke…"
134,"Atlanta, GA","The sticky, deadly tsunami struck without warning at midday on Jan. 15, 1919, when a giant wave of molasses crashed… https://t.co/O1iuQLqrbI"
135,"Stratton Oakmont, Inc. ",RT @mvpmal: I would dive head first into a tsunami to suck on your titties for 1 minute https://t.co/LzbEGycUyl
136,K.A.R.D • 27/09/18 ♥️,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
137,"Dundee, Scotland",RT @drsuedaw: The value of geoscience and past environments to create hitories of tsunami events RT@marufins https://t.co/LdhC4gzaq0
138,"Malang, Indonesia",I liked a @YouTube video https://t.co/tz26l9xPFF 2004 Tsunami Caught On Camera FULL VIDEO
139,"Torrance, CA","RT @UnaccountedFour: LGCW 334: Smash That Fright Button https://t.co/83szmqPRkg

#NVIDIA drops the F-bomb, Valve issues a tsunami of VAC ba…"
140,"Surakarta, Jawa Tengah",RT @26_DaniPedrosa: Sad news. #IndonesiaTsunami All my support to all the people affected for the tsunami. https://t.co/DhLATf9x3E
141,"Ontario, Canada","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
142,+62,RT @1omaresa: Please pray for Indonesia 🙏🏽 #Tsunami
143,MICHIGAN,RT @tictoc: Welcome back to the ocean: Rescue workers return turtles to the sea after being stranded inland by a tsunami in Indonesia https…
144,"Houston, TX",RT @mvpmal: I would dive head first into a tsunami to suck on your titties for 1 minute https://t.co/LzbEGycUyl
145,"West Malling, South East",RT @leekern13: “Hitler was right...Hitler was right...” https://t.co/d2BjILi2gv
146,Florida/USA ,"RT @JohnKasich: In 2017, I talked about the need to get ahead of the tsunami of change that is coming our way with AI and automation. Tonig…"
147,got7,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
148,"42.344589,-71.100822","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
149,Middlesbrough,"RT @BW_Geographers: Incredible before and after images of Anak Krakatau, the eruption responsible for December’s devastating tsunami #geogr…"
150,Los Karachi Angeles,"RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
151,Devon / Copenhagen,"RT @mishtal: London 2018. I watch the whole argument. Jews were blamed for all the wars of the Middle East, including the Sunni/Shi'ite vio…"
152,"San Diego, CA","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
153,"Talbott, TN",First I'd ever heard of this
154,Devon / Copenhagen,RT @leekern13: “Hitler was right...Hitler was right...” https://t.co/d2BjILi2gv
155,Pakistan,"RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
156,"Mumbai, India","RT @DiyaMenon6: #WeDemandJenShad cos we wanted #AdiYa to have a proper Suhaag raat and create a Tsunami on IndianTelevision
@mnysha have a…"
157,"Ohio, USA",@ASexybritches @Rothbard_IRA Never is a very long time. My soul was here when Mu slid into the sea. I watched from… https://t.co/EEEFE4CRZh
158,Detroit 🛩 Houston,RT @BrandiIsTheOne: 😩 just came back to reminisce 😭 this was toooo lit https://t.co/61DdYUyuQu
159,"the Bronx, NY","@williamlegate Sure, but at this stage of the game, it's like getting a parking ticket while your town is being destroyed by a tsunami"
160,United Kingdom,RT @YorkshireIsrael: Scary times to say the least ... uneducated radical views breed this type of hatred https://t.co/JJ3uLmuFVH
161,oakey oaks,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
162,"Malolos, PH","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
163,India,I liked a @YouTube video https://t.co/wkX1mhKIgT ESCAPING GIANT TSUNAMI FLOOD IN ROBLOX!
164,India,I liked a @YouTube video https://t.co/wkX1mi2j8r ESCAPING GIANT TSUNAMI FLOOD IN ROBLOX!
165,"Boston, MA","It’s true. Other cities had Great Fires that leveled neighborhoods. In Boston, we had the Great Molasses Flood that… https://t.co/qTV20zZQIK"
166,Colorado,"RT @Lynne_Jean: Read my own experience of surviving a deadly #cyclone #hurricane #tsunami #althea
https://t.co/F7HDTBdG1d
On Amazon or DM f…"
167,"Chicago, IL","RT @CMO_com: “Personalisation is not a trend. It is a marketing tsunami!""

See how richer customer experiences are transforming the retail…"
168,India,"RT @Rupatatwa2: @Jia_S_ @Sidra067 @ColorsTV @RstfOfficial @mnysha @sharmarashmi20 Roop ishika jodi totally flop
Marriage track super tsunam…"
169,Islamabad/Bahawalpur,"RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
170,"Nanyuki, Kenya","#NTVfakenewsagain kindly @ntvkenya what is it are people claim they are brainwashed from ? Is it our clothing, or B… https://t.co/hVspY5DTAF"
171,"Orlando, FL","@Huscoon *TSUNAMI OF SHEDDED FUR*

!!!"
172,India,RT @StevenLeeJobe: Listen! You hear that? It's the sound of the Apollo tsunami... https://t.co/Dqe0Xd6Ajl
173,Malaysia,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
174,180618 ♡ Jackson,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
175,"San Diego, CA",America's aging population signals demand for upmarket senior living. Douglas Wilson Cos. has launched a new line o… https://t.co/oBX1XceL6U
176,Chile,"RT @mishtal: London 2018. I watch the whole argument. Jews were blamed for all the wars of the Middle East, including the Sunni/Shi'ite vio…"
177,CA//DEN,"And since this probably falls into someone’s “if I had enough money I’d totally do this” yum, to be fair I’ll share… https://t.co/gfFfghkJ77"
178,"San Jose, CA","RT @zelphontheshelf: In 2004, LDS leaders encouraged members to donate to their humanitarian fund to help victims of the tsunami. 

Members…"
179,Georgia,"RT @UrbanFoxxxx: 'Coastal Motifs', Tadashi Ono's series documenting the 400-km concrete seawall built in Iwate, Miyagi and Fukushima Prefec…"
180,Yo Mom's,"RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
181,Tweets on #Asia & USA  ,Sadly. Putting the #Indonesian 🇮🇩 #tsunami(s) in context: Natural disasters caused $160 billion in damage &amp; 1000s o… https://t.co/tqMAWx3dQh
182,"East London, South Africa","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
183,"Karachi, Pakistan","RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
184,Mthatha,"RT @MzwaneleManyi: Dear South Africa
This cartoon has unwittingly confirmed which parties will soon be working together as opposition to th…"
185,Global,"RT @TWERadio: This week in #history: Boston suffers a molasses tsunami, President Dwight D. Eisenhower bids the nation farewell, and @iocme…"
186,Bedford,RT @leekern13: “Hitler was right...Hitler was right...” https://t.co/d2BjILi2gv
187,"England, United Kingdom","RT @mishtal: London 2018. I watch the whole argument. Jews were blamed for all the wars of the Middle East, including the Sunni/Shi'ite vio…"
188,"Chino, CA","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
189,🇵🇰,"RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
190,San Diego,"@samthielman You’re not an expert. Your speculative fiction might end up being true, but your reaction appears extr… https://t.co/geabIeYez0"
191,United States,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
192,"Burbank, CA",My Pelvic Ultrasound and How I Averted a Tsunami-Like Flood #womenover50 #midlife https://t.co/ZBRJF1iWiE
193,پڑھائی کی زد میں,"RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
